,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
132,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Amy Coney Barrett,Majority,Health and Hospital Corporation of Marion County,Talevski
133,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Neil Gorsuch,Majority,Health and Hospital Corporation of Marion County,Talevski
134,21-806,Health and Hospital Corporation of Marion County v. Talevski,Clause ,Brett M. Kavanaugh,Majority,Health and Hospital Corporation of Marion County,Talevski
135,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Elena Kagan,Majority,"Helix Energy Solutions Group, Inc.",Hewitt
136,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,"John G. Roberts, Jr.",Majority,"Helix Energy Solutions Group, Inc.",Hewitt
137,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Clarence Thomas,Majority,"Helix Energy Solutions Group, Inc.",Hewitt
138,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Sonia Sotomayor,Majority,"Helix Energy Solutions Group, Inc.",Hewitt
139,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Amy Coney Barrett,Majority,"Helix Energy Solutions Group, Inc.",Hewitt
140,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Ketanji Brown Jackson,Majority,"Helix Energy Solutions Group, Inc.",Hewitt
141,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Neil Gorsuch,Minority,"Helix Energy Solutions Group, Inc.",Hewitt
142,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,Brett M. Kavanaugh,Minority,"Helix Energy Solutions Group, Inc.",Hewitt
143,21-984,"Helix Energy Solutions Group, Inc. v. Hewitt",Clause ,"Samuel A. Alito, Jr.",Minority,"Helix Energy Solutions Group, Inc.",Hewitt
144,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Elena Kagan,Majority,Jack Daniel's Properties,VIP Products LLC
145,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,"John G. Roberts, Jr.",Majority,Jack Daniel's Properties,VIP Products LLC
146,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Neil Gorsuch,Majority,Jack Daniel's Properties,VIP Products LLC
147,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Clarence Thomas,Majority,Jack Daniel's Properties,VIP Products LLC
148,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Amy Coney Barrett,Majority,Jack Daniel's Properties,VIP Products LLC
149,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Sonia Sotomayor,Majority,Jack Daniel's Properties,VIP Products LLC
150,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,"Samuel A. Alito, Jr.",Majority,Jack Daniel's Properties,VIP Products LLC
151,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Ketanji Brown Jackson,Majority,Jack Daniel's Properties,VIP Products LLC
152,22-148,Jack Daniel's Properties v. VIP Products LLC,Act ,Brett M. Kavanaugh,Majority,Jack Daniel's Properties,VIP Products LLC
153,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Ketanji Brown Jackson,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
154,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,"John G. Roberts, Jr.",Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
155,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Clarence Thomas,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
156,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,"Samuel A. Alito, Jr.",Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
157,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Sonia Sotomayor,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
158,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Elena Kagan,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
159,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Neil Gorsuch,Minority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
160,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Brett M. Kavanaugh,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
161,22-227,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,Act ,Amy Coney Barrett,Majority,Lac du Flambeau Band of Lake Superior Chippewa Indians,Coughlin
162,22-49,Lora v. United States,Act ,Ketanji Brown Jackson,Majority,Lora,United States
163,22-49,Lora v. United States,Act ,"John G. Roberts, Jr.",Majority,Lora,United States
164,22-49,Lora v. United States,Act ,Clarence Thomas,Majority,Lora,United States
165,22-49,Lora v. United States,Act ,"Samuel A. Alito, Jr.",Majority,Lora,United States
166,22-49,Lora v. United States,Act ,Sonia Sotomayor,Majority,Lora,United States
167,22-49,Lora v. United States,Act ,Elena Kagan,Majority,Lora,United States
168,22-49,Lora v. United States,Act ,Neil Gorsuch,Majority,Lora,United States
169,22-49,Lora v. United States,Act ,Brett M. Kavanaugh,Majority,Lora,United States
170,22-49,Lora v. United States,Act ,Amy Coney Barrett,Majority,Lora,United States
171,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Ketanji Brown Jackson,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
172,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,"John G. Roberts, Jr.",Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
173,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Clarence Thomas,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
174,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,"Samuel A. Alito, Jr.",Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
175,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Sonia Sotomayor,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
176,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Elena Kagan,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
177,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Neil Gorsuch,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
178,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Brett M. Kavanaugh,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
179,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Amy Coney Barrett,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
180,21-468,National Pork Producers Council v. Ross,Clause ,Neil Gorsuch,Majority,National Pork Producers Council,Ross
181,21-468,National Pork Producers Council v. Ross,Clause ,Clarence Thomas,Majority,National Pork Producers Council,Ross
182,21-468,National Pork Producers Council v. Ross,Clause ,Sonia Sotomayor,Majority,National Pork Producers Council,Ross
183,21-468,National Pork Producers Council v. Ross,Clause ,Elena Kagan,Majority,National Pork Producers Council,Ross
184,21-468,National Pork Producers Council v. Ross,Clause ,Amy Coney Barrett,Majority,National Pork Producers Council,Ross
185,21-468,National Pork Producers Council v. Ross,Clause ,"John G. Roberts, Jr.",Minority,National Pork Producers Council,Ross
186,21-468,National Pork Producers Council v. Ross,Clause ,"Samuel A. Alito, Jr.",Minority,National Pork Producers Council,Ross
187,21-468,National Pork Producers Council v. Ross,Clause ,Brett M. Kavanaugh,Minority,National Pork Producers Council,Ross
188,21-468,National Pork Producers Council v. Ross,Clause ,Ketanji Brown Jackson,Minority,National Pork Producers Council,Ross
189,156-orig,New York v. New Jersey,Clause ,Brett M. Kavanaugh,Majority,New York,New Jersey
190,156-orig,New York v. New Jersey,Clause ,"John G. Roberts, Jr.",Majority,New York,New Jersey
191,156-orig,New York v. New Jersey,Clause ,Clarence Thomas,Majority,New York,New Jersey
192,156-orig,New York v. New Jersey,Clause ,Sonia Sotomayor,Majority,New York,New Jersey
193,156-orig,New York v. New Jersey,Clause ,"Samuel A. Alito, Jr.",Majority,New York,New Jersey
